epoch, dice, Jac, clDice 
001,0.000000,0.000000,nan 
002,0.065823,0.034438,0.061021 
003,0.000000,0.000000,nan 
004,0.000000,0.000000,nan 
005,0.000000,0.000000,nan 
006,0.043897,0.023749,nan 
007,0.121648,0.067372,nan 
008,0.086758,0.047665,nan 
009,0.155584,0.089262,nan 
010,0.198544,0.116488,nan 
011,0.224037,0.132368,nan 
012,0.240788,0.144461,nan 
013,0.198903,0.116292,nan 
014,0.102745,0.056447,nan 
015,0.265717,0.161005,0.286829 
016,0.226823,0.133599,0.272919 
017,0.216948,0.126770,0.267100 
018,0.220474,0.128981,0.264151 
019,0.251765,0.150563,0.284448 
020,0.251114,0.149895,0.286904 
021,0.185389,0.105892,0.230309 
022,0.129418,0.072405,0.171853 
023,0.125648,0.069474,0.156592 
024,0.183106,0.104833,0.215935 
025,0.218239,0.127849,0.258552 
026,0.250108,0.148931,0.296377 
027,0.309085,0.189370,0.348011 
028,0.297161,0.182297,0.328960 
029,0.258537,0.154973,0.303902 
030,0.252377,0.150719,nan 
031,0.218385,0.127882,0.251031 
032,0.249176,0.149017,0.265599 
033,0.266168,0.162158,nan 
034,0.243721,0.146956,nan 
035,0.275730,0.167973,nan 
036,0.227551,0.137430,nan 
037,0.076700,0.043226,nan 
038,0.247515,0.150994,nan 
039,0.293716,0.178921,0.330183 
040,0.246248,0.146276,0.270214 
041,0.250064,0.149163,0.269004 
042,0.261375,0.157632,0.286752 
043,0.169325,0.098640,nan 
044,0.088734,0.050237,nan 
045,0.121451,0.071054,nan 
046,0.244796,0.145826,nan 
047,0.246785,0.147657,nan 
048,0.230518,0.137995,nan 
049,0.259149,0.157237,nan 
050,0.099822,0.057448,nan 
051,0.265012,0.160349,nan 
052,0.242635,0.144547,0.276604 
053,0.240418,0.143606,0.270336 
054,0.272489,0.166123,nan 
055,0.254933,0.154444,nan 
056,0.219881,0.130774,nan 
057,0.260054,0.156367,nan 
058,0.286452,0.173853,nan 
059,0.288971,0.175937,0.325117 
060,0.251318,0.149918,0.277569 
061,0.269218,0.162961,nan 
062,0.265877,0.160989,nan 
063,0.220798,0.132470,nan 
064,0.176052,0.103431,nan 
065,0.223731,0.134449,nan 
066,0.238782,0.144462,nan 
067,0.237787,0.143466,nan 
068,0.211996,0.126613,nan 
069,0.206263,0.122036,nan 
070,0.222920,0.132186,nan 
071,0.285355,0.173367,nan 
072,0.250322,0.150403,nan 
073,0.159634,0.092988,nan 
074,0.190377,0.111870,nan 
075,0.299482,0.183434,nan 
076,0.286373,0.174434,0.305994 
077,0.275071,0.166486,nan 
078,0.170659,0.099637,nan 
079,0.120926,0.069907,nan 
080,0.245886,0.148271,nan 
081,0.293557,0.180597,0.312860 
082,0.298705,0.184500,0.317514 
083,0.274736,0.167765,0.287160 
084,0.191992,0.113296,nan 
085,0.241325,0.145772,nan 
086,0.267446,0.163059,nan 
087,0.271887,0.165440,0.303613 
088,0.188716,0.111854,nan 
089,0.126439,0.073083,nan 
090,0.219429,0.129736,nan 
091,0.256374,0.153104,nan 
092,0.254297,0.151352,0.267236 
093,0.221355,0.129539,0.242060 
094,0.236186,0.139633,0.255373 
095,0.255430,0.153470,nan 
096,0.179306,0.105592,nan 
097,0.220623,0.131541,nan 
098,0.269396,0.164343,nan 
099,0.207428,0.124507,nan 
100,0.158866,0.093882,nan 
026,0.309085 
